Rank,School,Babcock,PubPriv,Tuition,Enrollment,Acceptance,Retention,Graduation,Type
152,Adelphi University,Class 2,Private,30800,7859,66.5,81,66,University
89,Agnes Scott College,Class 2,Private,34788,885,62,83,64,College
100,Albion College,Class 2,Private,35866,1382,70.2,80,72,College
176,Albright College,Class 3,Private,36660,2264,46.7,74,53,College
82,Allegheny College,Class 2,Private,39100,2140,63.3,87,78,College
126,Alma College,Class 2,Private,32785,1464,71.9,80,66,College
167,American Jewish University,None,Private,28496,NA,94.9,90,42,College
75,American University,None,Private,40649,12904,44.2,90,77,University
2,Amherst College,Class 1,Private,46574,1817,13,98,95,College
181,Andrews University Berrien,None,Private,25470,3551,37.5,79,59,University
142,Arizona State University,None,Public,10002,73378,87.9,82,57,University
91,Auburn University,None,Public,9852,25134,77.2,88,68,University
100,Augustana College,Class 2,Private,35835,2551,68.8,85,78,College
82,Austin College,None,Private,33830,1260,59.1,83,77,College
173,Azusa Pacific University,None,Private,32256,10184,52.3,85,63,University
181,Ball State,None,Public,9250,21053,61.2,79,57,University
38,Bard College,None,Private,46370,2322,35.2,88,79,College
32,Barnard College,Class 1,Private,44790,2504,22.6,95,90,College
22,Bates College,Class 2,Private,45650,1753,26.6,94,88,College
75,Baylor University,Class 2,Private,35972,15364,60.7,85,75,University
59,Beloit College,Class 1,Private,41250,1359,67.1,89,78,College
100,Bennington College,None,Private,45680,826,63,86,64,College
76,Berea College,Class 3,Private,1070,1658,31.8,81,66,College
126,Berry College,None,Private,29090,2166,66.1,77,62,College
97,Binghamton University at SUNY,None,Public,8144,15308,42.9,91,79,University
177,Biola University,None,Private,32142,6302,74.7,85,65,University
115,Birmingham-Southern College,None,Private,30690,1231,80.6,81,65,College
31,Boston College,Class 2,Private,45622,13783,28.8,95,92,University
41,Boston University,Class 2,Private,44910,32603,45.6,91,84,University
4,Bowdoin College,Class 1,Private,45446,1839,15.8,96,95,College
181,Bowling Green State University Bowling,None,Public,10721,17286,73.6,74,58,University
32,Brandeis University,None,Private,46106,5808,39.1,94,90,University
62,Brigham Young University at Provo,None,Private,4850,34409,54.9,86,77,University
14,Brown University,Class 1,Private,45612,8885,9.6,98,95,University
30,Bryn Mawr College,Class 1,Private,43900,1774,41.4,92,82,College
32,Bucknell University,Class 2,Private,46902,3618,27,94,90,College
10,California Institute of Technology,None,Private,41538,2243,11.8,98,92,University
100,Calvin College,None,Private,28250,4008,75.6,87,77,College
7,Carleton College,Class 2,Private,46167,2055,25.6,97,94,College
23,Carnegie Mellon University,None,Private,46962,12569,27.8,96,87,University
167,Carthage College,Class 3,Private,34850,3047,70.1,75,60,College
37,Case Western Reserve University,Class 1,Private,41800,10026,54.3,92,78,University
167,Centenary College of Louisiana,None,Private,30740,776,64.1,NA,56,College
134,Central College,None,Private,30700,1486,65.4,80,69,College
190,Central Michigan University Mount,None,Public,11220,27626,63.8,77,58,University
49,Centre College,None,Private,36000,1344,69.6,91,87,College
9,Claremont McKenna College,None,Private,45625,1295,13.6,95,92,College
75,Clark University,None,Private,39550,3503,70.1,89,80,University
121,Clarkson University,None,Private,40610,3604,76.1,87,71,University
62,Clemson University,Class 4,Public,13382,20768,57.9,90,82,University
120,Coe College,Class 2,Private,35730,1367,66.7,80,70,College
22,Colby College,Class 2,Private,45760,1863,29,95,90,College
20,Colgate University,Class 1,Private,46380,2886,29.4,95,90,College
167,College of Idaho,None,Private,23725,1059,64.9,81,64,College
94,College of St. Benedict,None,Private,37926,2070,76.7,89,81,College
93,College of the Atlantic,None,Private,38952,340,70.6,85,64,College
25,College of the Holy Cross,Class 2,Private,44272,2926,33.5,95,93,College
32,College of William and Mary,None,Public,15464,8258,32.2,95,90,University
65,College of Wooster,None,Private,41680,2080,58.1,89,76,College
31,Colorado College,Class 2,Private,44222,2026,23,95,90,College
91,Colorado School of Mines,Class 2,Public,16485,5632,37.4,89,66,University
121,Colorado State University,None,Public,9313,30647,74.7,84,63,University
4,Columbia University,Class 1,Private,49138,23168,7.4,99,97,University
138,Concordia College-Moorhead,None,Private,32814,2631,77.7,83,68,College
