Rank,School,Tuition,Enrollment,Acceptance,Retention,Graduation
1,Williams College,46600,2106,17.00,97,96
2,Amherst College,46574,1817,13.00,98,95
3,Swarthmore College,44718,1552,14.20,97,92
4,Bowdoin College,45446,1839,15.80,96,95
4,Middlebury College,45314,2516,17.20,96,94
4,Pomona College,43580,1607,13.00,98,96
7,Carleton College,46167,2055,25.60,97,94
7,Wellesley College,43554,2481,30.10,96,92
9,Claremont McKenna College,45625,1295,13.60,95,92
9,Davidson College,42849,1790,24.80,97,93
9,Haverford College,45426,1205,22.90,96,93
12,United States Naval Academy,0,4536,6.80,97,87
13,Vassar College,47890,2406,22.80,97,91
14,Hamilton College,46080,1884,27.20,95,91
14,Washington and Lee University,44507,2302,19.50,94,90
16,Harvey Mudd College,46509,783,19.20,98,88
17,Grinnell College,43656,1674,36.30,94,90
17,United States Military Academy,0,4592,9.00,94,83
17,Wesleyan University,46944,3262,20.90,96,91
20,Colgate University,46380,2886,29.40,95,90
20,Smith College,43114,3212,42.40,92,85
22,Bates College,45650,1753,26.60,94,88
22,Colby College,45760,1863,29.00,95,90
24,Macalester College,45388,2070,36.70,95,90
25,College of the Holy Cross,44272,2926,33.50,95,93
25,Oberlin College,46870,2944,31.30,94,85
25,Scripps College,45564,962,32.40,92,90
25,United States Air Force Academy,0,4120,9.90,90,80
25,University of Richmond,45320,3626,30.30,93,83
30,Bryn Mawr College,43900,1774,41.40,92,82
31,Colorado College,44222,2026,23.00,95,90
32,Barnard College,44790,2504,22.60,95,90
32,Bucknell University,46902,3618,27.00,94,90
32,Kenyon College,45640,1667,36.00,93,90
35,Pitzer College,43402,1084,15.70,92,87
36,Lafayette College,43970,2488,34.50,95,91
36,Trinity College,47510,2387,33.70,91,83
38,Bard College,46370,2322,35.20,88,79
38,Mount Holyoke College,41456,2344,42.10,91,81
38,Sewanee-University of the South,35756,1557,58.80,88,78
41,Occidental College,46270,2178,39.40,92,84
41,Soka University of America,29092,438,45.80,95,92
41,Union College,46785,2241,38.20,93,83
41,Whitman College,43500,1539,48.60,94,87
45,Connecticut College,46085,1933,35.90,90,85
45,Dickinson College,46094,2386,40.20,91,85
45,Franklin and Marshall College,46285,2365,39.30,93,83
45,Skidmore College,45724,2689,41.90,94,88
49,Centre College,36000,1344,69.60,91,87
50,Denison University,43910,2336,49.50,90,86
50,Gettysburg College,45870,2597,40.30,91,84
52,Furman University,43164,2915,77.50,90,83
52,St. Olaf College,40700,3176,60.40,93,86
54,DePauw University,40640,2336,61.50,90,78
54,Rhodes College,39794,1927,54.60,90,81
56,St. Lawrence University,46040,2488,48.20,92,80
57,Wabash College,35650,906,67.00,86,73
57,Wheaton College,30880,3034,68.70,96,90
59,Beloit College,41250,1359,67.10,89,78
59,Lawrence University,41226,1525,76.20,89,73
61,Hobart and William Smith Colleges,46165,2300,53.10,88,76
61,Kalamazoo College,37810,1379,69.00,91,80
61,Thomas Aquinas College,24500,370,80.60,85,76
61,Willamette University,42305,2933,60.40,88,77
65,College of Wooster,41680,2080,58.10,89,76
65,Earlham College,41450,1211,74.90,83,71
65,Illinois Wesleyan University,39316,2013,59.50,91,82
65,Muhlenberg College,42755,2422,45.70,92,87
65,Southwestern University,35240,1394,60.50,86,75
65,Spelman College,24634,2145,38.00,88,73
65,Virginia Military Institute,14404,1664,46.30,84,71
65,Wheaton College,45074,1616,64.30,87,82
65,Wofford College,35515,1588,62.70,89,84
74,Lewis & Clark College,41928,3703,64.00,86,76
74,Reed College 1,44460,N/A,39.9 4,90 8,79 6 
76,Berea College,1070,1658,31.80,81,66
76,Gustavus Adolphus College,39060,2524,63.40,92,83
76,St. John's University,37167,1983,74.80,91,77
76,St. Mary's College,34600,1469,84.80,87,78
76,Transylvania University,31560,1074,84.90,86,74
76,University of Puget Sound,41868,2857,82.70,87,77
82,Allegheny College,39100,2140,63.30,87,78
