Rank,School,PubPriv,Tuition,Enrollment,Acceptance,Retention,Graduation,Type,Rank,School,Location,PubPriv,Tuition,Enrollment,Acceptance,Retention,Graduation,Type
1,Williams College,Private,46600,2106,17,97,96,College,1,Princeton University,Princeton NJ,Private,40170,8010,7.9,98,96,University 
2,Amherst College,Private,46574,1817,13,98,95,College,2,Harvard University,Cambridge MA,Private,42292,19726,6.1,98,97,University 
3,Swarthmore College,Private,44718,1552,14.2,97,92,College,3,Yale University,New Haven CT,Private,44000,11906,7.1,99,96,University 
4,Bowdoin College,Private,45446,1839,15.8,96,95,College,4,Columbia University,New York NY,Private,49138,23168,7.4,99,97,University 
4,Middlebury College,Private,45314,2516,17.2,96,94,College,5,Stanford University,Stanford CA,Private,43245,18217,6.6,98,95,University 
4,Pomona College,Private,43580,1607,13,98,96,College,5,University of Chicago,Chicago IL,Private,46386,12508,13.2,99,92,University 
7,Carleton College,Private,46167,2055,25.6,97,94,College,7,Duke University,Durham NC,Private,45476,15386,13.4,97,95,University 
7,Wellesley College,Private,43554,2481,30.1,96,92,College,7,Massachusetts Institute of Technology,Cambridge MA,Private,43498,11189,9,97,93,University 
9,Claremont McKenna College,Private,45625,1295,13.6,95,92,College,7,University of Pennsylvania,Philadelphia PA,Private,45890,21339,12.6,98,96,University 
9,Davidson College,Private,42849,1790,24.8,97,93,College,10,California Institute of Technology,Pasadena CA,Private,41538,2243,11.8,98,92,University 
9,Haverford College,Private,45426,1205,22.9,96,93,College,10,Dartmouth College,Hanover NH,Private,46752,6277,9.8,98,96,University 
12,United States Naval Academy,Private,0,4536,6.8,97,87,College,12,Johns Hopkins University,Baltimore MD,Private,45470,21001,17.7,97,94,University 
13,Vassar College,Private,47890,2406,22.8,97,91,College,12,Northwestern University,Evanston IL,Private,45527,20439,15.3,97,93,University 
14,Hamilton College,Private,46080,1884,27.2,95,91,College,14,Brown University,Providence RI,Private,45612,8885,9.6,98,95,University 
14,Washington and Lee University,Private,44507,2302,19.5,94,90,College,14,Washington University in St. Louis St.,Louis MO,Private,44841,13952,17.9,97,94,University 
16,Harvey Mudd College,Private,46509,783,19.2,98,88,College,16,Cornell University,Ithaca NY,Private,45359,21424,16.6,96,93,University 
17,Grinnell College,Private,43656,1674,36.3,94,90,College,17,Vanderbilt University,Nashville TN,Private,42978,12710,14.2,96,92,University 
17,United States Military Academy,Private,0,4592,9,94,83,College,18,Rice University,Houston TX,Private,38941,6484,16.7,96,92,University 
17,Wesleyan University,Private,46944,3262,20.9,96,91,College,18,University of Notre Dame Notre,Dame IN,Private,44605,12126,23.3,98,95,University 
20,Colgate University,Private,46380,2886,29.4,95,90,College,20,Emory University,Atlanta GA,Private,44008,14236,26.3,95,90,University 
20,Smith College,Private,43114,3212,42.4,92,85,College,20,Georgetown University,Washington DC,Private,44805,17357,17,96,93,University 
22,Bates College,Private,45650,1753,26.6,94,88,College,20,University of California at Berkeley,Berkeley CA,Public,12864,35899,18,97,91,University 
22,Colby College,Private,45760,1863,29,95,90,College,23,Carnegie Mellon University,Pittsburgh PA,Private,46962,12569,27.8,96,87,University 
24,Macalester College,Private,45388,2070,36.7,95,90,College,23,University of California at Los Angeles,Los Angeles CA,Public,12696,41341,22,97,92,University 
25,College of the Holy Cross,Private,44272,2926,33.5,95,93,College,23,University of Southern California,Los Angeles CA,Private,46298,39958,19.9,97,90,University 
25,Oberlin College,Private,46870,2944,31.3,94,85,College,23,University of Virginia,Charlottesville VA,Public,12458,23907,29.6,97,93,University 
25,Scripps College,Private,45564,962,32.4,92,90,College,23,Wake Forest University,Winston-Salem NC,Private,44742,7432,34,94,87,University 
25,United States Air Force Academy,Private,0,4120,9.9,90,80,College,28,Tufts University,Medford MA,Private,46598,10837,21.4,96,92,University 
25,University of Richmond,Private,45320,3626,30.3,93,83,College,28,University of Michigan at Ann Arbor,Ann Arbor MI,Public,13819,43426,36.6,96,91,University 
30,Bryn Mawr College,Private,43900,1774,41.4,92,82,College,30,University of North Carolina at Chapel Hill,Chapel Hill NC,Public,8340,29278,27.6,97,89,University 
31,Colorado College,Private,44222,2026,23,95,90,College,31,Boston College,Chestnut Hill MA,Private,45622,13783,28.8,95,92,University 
32,Barnard College,Private,44790,2504,22.6,95,90,College,32,Brandeis University,Waltham MA,Private,46106,5808,39.1,94,90,University 
32,Bucknell University,Private,46902,3618,27,94,90,College,32,College of William and Mary,Williamsburg VA,Public,15464,8258,32.2,95,90,University 
32,Kenyon College,Private,45640,1667,36,93,90,College,32,New York University,New York NY,Private,44848,44516,35,92,85,University 
35,Pitzer College,Private,43402,1084,15.7,92,87,College,32,University of Rochester,Rochester NY,Private,45372,10510,35.3,96,85,University 
36,Lafayette College,Private,43970,2488,34.5,95,91,College,36,Georgia Institute of Technology,Atlanta GA,Public,10650,21557,54.9,94,79,University 
36,Trinity College,Private,47510,2387,33.7,91,83,College,37,Case Western Reserve University,Cleveland OH,Private,41800,10026,54.3,92,78,University 
38,Bard College,Private,46370,2322,35.2,88,79,College,37,Pennsylvania State University at University Park University,Park PA,Public,16992,45783,54.2,92,86,University 
38,Mount Holyoke College,Private,41456,2344,42.1,91,81,College,39,University of California at Davis,Davis CA,Public,13896,32354,45.7,92,85,University 
38,Sewanee-University of the South,Private,35756,1557,58.8,88,78,College,39,University of California at San Diego,La Jolla CA,Public,13234,28294,37.8,95,86,University 
41,Occidental College,Private,46270,2178,39.4,92,84,College,41,Boston University,Boston MA,Private,44910,32603,45.6,91,84,University 
41,Soka University of America,Private,29092,438,45.8,95,92,College,41,Lehigh University,Bethlehem PA,Private,43520,7080,32.6,94,88,University 
41,Union College,Private,46785,2241,38.2,93,83,College,41,Rensselaer Polytechnic Institute,Troy NY,Private,46269,6999,43.6,92,84,University 
41,Whitman College,Private,43500,1539,48.6,94,87,College,41,University of California at Santa Barbara,Santa Barbara CA,Public,13746,21927,44,91,86,University 
45,Connecticut College,Private,46085,1933,35.9,90,85,College,41,University of Illinois at Urbana-äó†Champaign,Champaign IL,Public,15258,44520,63.3,94,84,University 
45,Dickinson College,Private,46094,2386,40.2,91,85,College,41,University of Wisconsin at Madison,Madison WI,Public,10403,42820,54.6,95,83,University 
45,Franklin and Marshall College,Private,46285,2365,39.3,93,83,College,47,University of Miami,Coral Gables FL,Private,42852,16172,39.7,91,81,University 
45,Skidmore College,Private,45724,2689,41.9,94,88,College,47,Yeshiva University,New York NY,Private,37600,6753,84,91,89,University 
49,Centre College,Private,36000,1344,69.6,91,87,College,49,Northeastern University,Boston MA,Private,41686,20447,31.9,94,79,University 
50,Denison University,Private,43910,2336,49.5,90,86,College,49,University of California at Irvine,Irvine CA,Public,14688,27479,42.4,94,86,University 
50,Gettysburg College,Private,45870,2597,40.3,91,84,College,49,University of Florida,Gainesville FL,Public,6263,49913,44.1,96,85,University 
52,Furman University,Private,43164,2915,77.5,90,83,College,52,George Washington University,Washington DC,Private,47343,25653,33.1,93,80,University 
52,St. Olaf College,Private,40700,3176,60.4,93,86,College,52,Ohio State University at Columbus,Columbus OH,Public,10037,56387,64,93,82,University 
54,DePauw University,Private,40640,2336,61.5,90,78,College,52,Tulane University,New Orleans LA,Private,46930,13486,27.3,90,75,University 
54,Rhodes College,Private,39794,1927,54.6,90,81,College,52,University of Texas at Austin,Austin TX,Public,9790,52186,46.8,92,79,University 
56,St. Lawrence University,Private,46040,2488,48.2,92,80,College,52,University of Washington,Seattle WA,Public,12383,42568,59.2,93,80,University 
57,Wabash College,Private,35650,906,67,86,73,College,57,Fordham University,New York NY,Private,43577,15170,42.9,89,81,University 
57,Wheaton College,Private,30880,3034,68.7,96,90,College,57,Pepperdine University,Malibu CA,Private,44902,7319,38.5,91,81,University 
59,Beloit College,Private,41250,1359,67.1,89,78,College,57,University of Connecticut,Storrs CT,Public,12022,25483,44.7,93,82,University 
59,Lawrence University,Private,41226,1525,76.2,89,73,College,60,Southern Methodist University,Dallas TX,Private,43800,10893,53.8,89,79,University 
61,Hobart and William Smith Colleges,Private,46165,2300,53.1,88,76,College,60,University of Georgia,Athens GA,Public,10262,34519,56.1,94,82,University 
61,Kalamazoo College,Private,37810,1379,69,91,80,College,62,Brigham Young University at Provo,Provo UT,Private,4850,34409,54.9,86,77,University 
61,Thomas Aquinas College,Private,24500,370,80.6,85,76,College,62,Clemson University,Clemson SC,Public,13382,20768,57.9,90,82,University 
61,Willamette University,Private,42305,2933,60.4,88,77,College,62,Syracuse University,Syracuse NY,Private,40458,21029,51.3,92,82,University 
65,College of Wooster,Private,41680,2080,58.1,89,76,College,62,University of Maryland at College Park,College Park MD,Public,9162,37197,46.8,94,82,University 
65,Earlham College,Private,41450,1211,74.9,83,71,College,62,University of Pittsburgh,Pittsburgh PA,Public,17100,28769,56.1,92,79,University 
65,Illinois Wesleyan University,Private,39316,2013,59.5,91,82,College,62,Worcester Polytechnic Institute,Worcester MA,Private,42778,5957,52.6,95,84,University 
65,Muhlenberg College,Private,42755,2422,45.7,92,87,College,68,Purdue University at West Lafayette,West Lafayette IN,Public,9992,39256,61.3,89,70,University 
65,Southwestern University,Private,35240,1394,60.5,86,75,College,69,Rutgers New Jersey at New Brunswick,Piscataway NJ,Public,13499,40434,60.9,92,79,University 
65,Spelman College,Private,24634,2145,38,88,73,College,69,Texas A&M University at College Station,College Station TX,Public,8506,50227,67.1,92,80,University 
65,Virginia Military Institute,Public,14404,1664,46.3,84,71,College,69,University of Minnesota at Twin Cities,Minneapolis MN,Public,13555,51853,49.5,90,73,University 
65,Wheaton College,Private,45074,1616,64.3,87,82,College,69,Virginia Tech,Blacksburg VA,Public,10930,31087,70.4,92,83,University 
65,Wofford College,Private,35515,1588,62.7,89,84,College,73,Michigan State University,East Lansing MI,Public,12863,48906,70.6,91,79,University 
74,Lewis & Clark College,Private,41928,3703,64,86,76,College,73,University of Iowa,Iowa City IA,Public,8061,30119,78.4,85,70,University 
74,Reed College,Private,44460,NA,39.9,90,79,College,75,American University,Washington DC,Private,40649,12904,44.2,90,77,University 
76,Berea College,Private,1070,1658,31.8,81,66,College,75,Baylor University,Waco TX,Private,35972,15364,60.7,85,75,University 
76,Gustavus Adolphus College,Private,39060,2524,63.4,92,83,College,75,Clark University,Worcester MA,Private,39550,3503,70.1,89,80,University 
76,St. John's University,Private,37167,1983,74.8,91,77,College,75,Indiana University at Bloomington,Bloomington IN,Public,10209,42133,74.4,89,75,University 
76,St. Mary's College,Private,34600,1469,84.8,87,78,College,75,Marquette University,Milwaukee WI,Private,34640,11749,55.2,89,80,University 
76,Transylvania University,Private,31560,1074,84.9,86,74,College,75,Miami University at Oxford,Oxford OH,Public,13799,17683,72.8,89,80,University 
76,University of Puget Sound,Private,41868,2857,82.7,87,77,College,75,University of Delaware,Newark DE,Public,12112,21081,56.6,92,80,University 
82,Allegheny College,Private,39100,2140,63.3,87,78,College,82,Stevens Institute of Technology,Hoboken NJ,Private,43561,5649,42.7,92,78,University 
82,Austin College,Private,33830,1260,59.1,83,77,College,82,Stony Brook University at SUNY,Stony Brook NY,Public,7984,24149,40.1,90,70,University 
82,Hendrix College,Private,37816,1388,83,85,72,College,82,Texas Christian University,Fort Worth TX,Private,36590,9727,40.9,87,75,University 
82,Hillsdale College,Private,22890,1447,49,96,77,College,82,University of Vermont,Burlington VT,Public,15718,13097,76.7,86,76,University 
82,Knox College,Private,38952,1430,77.6,89,79,College,86,SUNY College of Environmental Science and Forestry,Syracuse NY,Public,6995,2401,50.7,85,67,University 
82,Millsaps College,Private,32520,915,54.8,81,72,College,86,University of Alabama,Tuscaloosa AL,Public,9200,33503,53.1,85,67,University 
82,Ursinus College,Private,44530,1680,69.8,90,74,College,86,University of California at Santa Cruz,Santa Cruz CA,Public,13416,17404,60.9,90,77,University 
89,Agnes Scott College,Private,34788,885,62,83,64,College,86,University of Colorado at Boulder,Boulder CO,Public,10240,31725,83.6,84,68,University 
89,New College of Florida,Public,6783,832,59.6,84,69,College,86,University of Tulsa,Tulsa OK,Private,33702,4326,40.7,87,66,University 
89,St. Mary's College of Maryland,Public,14865,1933,72,88,81,College,91,Auburn University Auburn,University AL,Public,9852,25134,77.2,88,68,University 
89,St. Michael's College,Private,39015,2410,78,89,82,College,91,Colorado School of Mines,Golden CO,Public,16485,5632,37.4,89,66,University 
93,College of the Atlantic,Private,38952,340,70.6,85,64,College,91,Florida State University,Tallahassee FL,Public,6537,40695,53.7,92,75,University 
94,College of St. Benedict,Private,37926,2070,76.7,89,81,College,91,University of Denver,Denver CO,Private,40707,11656,67.6,87,76,University 
