Rank,School,Location,PubPriv,Tuition,Enrollment,Acceptance,Retention,Graduation,Type
1,Princeton University,Princeton NJ,Private,40170,8010,7.9,98,96,University 
2,Harvard University,Cambridge MA,Private,42292,19726,6.1,98,97,University 
3,Yale University,New Haven CT,Private,44000,11906,7.1,99,96,University 
4,Columbia University,New York NY,Private,49138,23168,7.4,99,97,University 
5,Stanford University,Stanford CA,Private,43245,18217,6.6,98,95,University 
5,University of Chicago,Chicago IL,Private,46386,12508,13.2,99,92,University 
7,Duke University,Durham NC,Private,45476,15386,13.4,97,95,University 
7,Massachusetts Institute of Technology,Cambridge MA,Private,43498,11189,9,97,93,University 
7,University of Pennsylvania,Philadelphia PA,Private,45890,21339,12.6,98,96,University 
10,California Institute of Technology,Pasadena CA,Private,41538,2243,11.8,98,92,University 
10,Dartmouth College,Hanover NH,Private,46752,6277,9.8,98,96,University 
12,Johns Hopkins University,Baltimore MD,Private,45470,21001,17.7,97,94,University 
12,Northwestern University,Evanston IL,Private,45527,20439,15.3,97,93,University 
14,Brown University,Providence RI,Private,45612,8885,9.6,98,95,University 
14,Washington University in St. Louis St.,Louis MO,Private,44841,13952,17.9,97,94,University 
16,Cornell University,Ithaca NY,Private,45359,21424,16.6,96,93,University 
17,Vanderbilt University,Nashville TN,Private,42978,12710,14.2,96,92,University 
18,Rice University,Houston TX,Private,38941,6484,16.7,96,92,University 
18,University of Notre Dame Notre,Dame IN,Private,44605,12126,23.3,98,95,University 
20,Emory University,Atlanta GA,Private,44008,14236,26.3,95,90,University 
20,Georgetown University,Washington DC,Private,44805,17357,17,96,93,University 
20,University of California at Berkeley,Berkeley CA,Public,12864,35899,18,97,91,University 
23,Carnegie Mellon University,Pittsburgh PA,Private,46962,12569,27.8,96,87,University 
23,University of California at Los Angeles,Los Angeles CA,Public,12696,41341,22,97,92,University 
23,University of Southern California,Los Angeles CA,Private,46298,39958,19.9,97,90,University 
23,University of Virginia,Charlottesville VA,Public,12458,23907,29.6,97,93,University 
23,Wake Forest University,Winston-Salem NC,Private,44742,7432,34,94,87,University 
28,Tufts University,Medford MA,Private,46598,10837,21.4,96,92,University 
28,University of Michigan at Ann Arbor,Ann Arbor MI,Public,13819,43426,36.6,96,91,University 
30,University of North Carolina at Chapel Hill,Chapel Hill NC,Public,8340,29278,27.6,97,89,University 
31,Boston College,Chestnut Hill MA,Private,45622,13783,28.8,95,92,University 
32,Brandeis University,Waltham MA,Private,46106,5808,39.1,94,90,University 
32,College of William and Mary,Williamsburg VA,Public,15464,8258,32.2,95,90,University 
32,New York University,New York NY,Private,44848,44516,35,92,85,University 
32,University of Rochester,Rochester NY,Private,45372,10510,35.3,96,85,University 
36,Georgia Institute of Technology,Atlanta GA,Public,10650,21557,54.9,94,79,University 
37,Case Western Reserve University,Cleveland OH,Private,41800,10026,54.3,92,78,University 
37,Pennsylvania State University at University Park University,Park PA,Public,16992,45783,54.2,92,86,University 
39,University of California at Davis,Davis CA,Public,13896,32354,45.7,92,85,University 
39,University of California at San Diego,La Jolla CA,Public,13234,28294,37.8,95,86,University 
41,Boston University,Boston MA,Private,44910,32603,45.6,91,84,University 
41,Lehigh University,Bethlehem PA,Private,43520,7080,32.6,94,88,University 
41,Rensselaer Polytechnic Institute,Troy NY,Private,46269,6999,43.6,92,84,University 
41,University of California at Santa Barbara,Santa Barbara CA,Public,13746,21927,44,91,86,University 
41,University of Illinois at Urbana-â€‹Champaign,Champaign IL,Public,15258,44520,63.3,94,84,University 
41,University of Wisconsin at Madison,Madison WI,Public,10403,42820,54.6,95,83,University 
47,University of Miami,Coral Gables FL,Private,42852,16172,39.7,91,81,University 
47,Yeshiva University,New York NY,Private,37600,6753,84,91,89,University 
49,Northeastern University,Boston MA,Private,41686,20447,31.9,94,79,University 
49,University of California at Irvine,Irvine CA,Public,14688,27479,42.4,94,86,University 
49,University of Florida,Gainesville FL,Public,6263,49913,44.1,96,85,University 
52,George Washington University,Washington DC,Private,47343,25653,33.1,93,80,University 
52,Ohio State University at Columbus,Columbus OH,Public,10037,56387,64,93,82,University 
52,Tulane University,New Orleans LA,Private,46930,13486,27.3,90,75,University 
52,University of Texas at Austin,Austin TX,Public,9790,52186,46.8,92,79,University 
52,University of Washington,Seattle WA,Public,12383,42568,59.2,93,80,University 
